Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
2721,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2929,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3136,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3343,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3550,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3758,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3965,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4172,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4379,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4586,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4793,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5000,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5207,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5414,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5622,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5829,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6036,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6243,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6450,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6657,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6864,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7071,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7278,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7486,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
