Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
2940,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
2947,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
2954,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2961,RX,0x181,6,0x40,0x40,0x10,0x03,0x80,0x00,0x00,,"Status word = 0x0310"
2967,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
2974,RX,0x181,6,0x40,0x40,0x10,0x03,0x80,0x00,0x0B,,"Status word = 0x0310"
2981,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3088,TX,0x201,3,0x3D,0x3D,0xEB,0x00,,,,,"Request register 0xEB"
3295,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
3502,TX,0x201,3,0xD0,0xD0,0xD0,0x07,,,,,"Set CAN timeout = 2000 ms"
3709,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
3816,TX,0x201,3,0x51,0x51,0x04,0x00,,,,,"Lock/Disable drive"
3923,TX,0x201,3,0x51,0x51,0x00,0x00,,,,,"Enable drive"
3929,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4436,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
5164,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
5171,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
5177,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
5184,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
5191,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
5198,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
5218,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
5244,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
5250,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
5270,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
5295,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
5302,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
5329,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
5343,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
5356,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
