Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
3360,TX,0x201,3,0x3D,0x3D,0x40,0xFF,,,,,"Request register 0x40"
4874,TX,0x201,3,0x3D,0x3D,0xEB,0x00,,,,,"Request register 0xEB"
6055,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
7517,TX,0x201,3,0xD0,0xD0,0xF4,0x01,,,,,"Set CAN timeout = 500 ms"
8524,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
8630,TX,0x201,3,0x51,0x51,0x04,0x00,,,,,"Lock/Disable drive"
8736,TX,0x201,3,0x51,0x51,0x00,0x00,,,,,"Enable drive"
8742,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9833,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11269,TX,0x201,3,0x90,0x90,0x04,0x00,,,,,"Set torque command = 4"
11296,TX,0x201,3,0x90,0x90,0x08,0x00,,,,,"Set torque command = 8"
11322,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11348,TX,0x201,3,0x90,0x90,0x68,0x00,,,,,"Set torque command = 104"
11374,TX,0x201,3,0x90,0x90,0x04,0x00,,,,,"Set torque command = 4"
11400,TX,0x201,3,0x90,0x90,0x04,0x00,,,,,"Set torque command = 4"
11426,TX,0x201,3,0x90,0x90,0x08,0x00,,,,,"Set torque command = 8"
11452,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11478,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11504,TX,0x201,3,0x90,0x90,0x04,0x00,,,,,"Set torque command = 4"
11530,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11556,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11582,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11608,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11633,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11659,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11685,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11711,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11737,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11763,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11789,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11815,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11840,TX,0x201,3,0x90,0x90,0x10,0x00,,,,,"Set torque command = 16"
11866,TX,0x201,3,0x90,0x90,0x04,0x00,,,,,"Set torque command = 4"
11892,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11918,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11944,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11970,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
11996,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12022,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12048,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12074,TX,0x201,3,0x90,0x90,0x08,0x00,,,,,"Set torque command = 8"
12100,TX,0x201,3,0x90,0x90,0x08,0x00,,,,,"Set torque command = 8"
12126,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12152,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12178,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12204,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12230,TX,0x201,3,0x90,0x90,0x10,0x00,,,,,"Set torque command = 16"
12256,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12282,TX,0x201,3,0x90,0x90,0x04,0x00,,,,,"Set torque command = 4"
12308,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12334,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12360,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
12386,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque command = 0"
